철도운영기관명,선명,역명,철도운영기관코드,선코드,역코드,출입구번호,위치,시작층명,시작운행층수,종료층명,종료운행층수,정원수,정원무게,승강기상태,승강기번호
,의정부경전철,흥선,UL,U1,0115,2,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,의정부중앙,UL,U1,0117,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,의정부중앙,UL,U1,0117,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,의정부중앙,UL,U1,0117,1,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,동오,UL,U1,0118,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,동오,UL,U1,0118,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,동오,UL,U1,0118,1,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,동오,UL,U1,0118,2,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,새말,UL,U1,0119,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,새말,UL,U1,0119,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,새말,UL,U1,0119,1,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,경기도청북부청사,UL,U1,0120,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,경기도청북부청사,UL,U1,0120,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,경기도청북부청사,UL,U1,0120,1,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,효자,UL,U1,0121,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,효자,UL,U1,0121,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,효자,UL,U1,0121,1,내부,지상,1,지상,2,15,1000.00,,
,의정부경전철,곤제,UL,U1,0122,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,곤제,UL,U1,0122,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,곤제,UL,U1,0122,1,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,곤제,UL,U1,0122,2,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,어룡(용현산업단지),UL,U1,0123,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,어룡(용현산업단지),UL,U1,0123,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,어룡(용현산업단지),UL,U1,0123,1,1번,지상,1,지상,2,15,1000.00,,
,의정부경전철,어룡(용현산업단지),UL,U1,0123,2,2번,지상,1,지상,2,15,1000.00,,
,의정부경전철,송산,UL,U1,0124,,상선,지상,2,지상,3,15,1000.00,,
,의정부경전철,송산,UL,U1,0124,,하선,지상,2,지상,3,15,1000.00,,
,의정부경전철,송산,UL,U1,0124,1,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,송산,UL,U1,0124,2,외부,지상,1,지상,2,15,1000.00,,
,의정부경전철,탑석,UL,U1,0125,,상선,지상,2,지상,3,15,1000.00,,
,신분당선,미금(분당서울대병원),DX,D1,D13,,(B3) E/V #3호기 앞 (B5) 정자역 방향 승강장 3-2 출입문 앞,지하,5,지하,3,15,1000.00,,
,신분당선,동천,DX,D1,D14,"2,3","(1F) 2, 3번 출입구 사이(B1) 대합실",지하,1,지상,1,15,1000.00,,
,신분당선,동천,DX,D1,D14,,(B1) 대합실(B3) 수지구청역 방향 승강장 3-4 출입문 앞,지하,3,지하,1,15,1000.00,,
,신분당선,동천,DX,D1,D14,,(B1) 대합실(B3) 미금역 방향 승강장 3-4 출입문 앞,지하,3,지하,1,15,1000.00,,
,신분당선,수지구청,DX,D1,D15,"1,2","(1F)  1번, 2번 출입구 중간(B1) 편의점 앞",지하,1,지상,1,15,1000.00,,
,용인에버라인,삼가,EV,E1,Y116,3,(1F) 3번 출입구 옆(2F) 3번 출입구 대합실 앞,지상,1,지상,2,13,900.00,,
,용인에버라인,시청·용인대,EV,E1,Y117,,(2F) 1번 출입구 표 내는 곳 근처(3F) 삼가역 방향 승강장,지상,2,지상,3,13,900.00,,
